ARWEB|3.7,15.8,19.3,16.1,-10.1|3.9,30.3,42.6,39.6,-89.9
DEN|0,0,0,0,0|28.2,35.1,27.4,33.5,-38.2
DENA|12.0,13.1,20.3,21.4,19.0|0,0,0,0,0
DNSI|20.1,23.1,29.5,0,0|35.0,35.7,32.6,49.0,-0.9
DWHF|13.3,14.2,19.4,14.1,31.2|0,0,0,0,0
DHBN|27.5,16.4,0,0,0|0,0,0,0,0
GRFS|133.6,2.0,1.9,2.1,3.6|34.9,30.9,35.6,36.7,35.8
DISH|0,0,0,0,0|0,0,-0.1,57.3,-139.2
DHPH|12.1,17.1,9.7,8.9,13.5|11.9,35.4,31.0,30.1,24.8
DIVI|32.4,33.1,34.3,31.2,23.9|21.7,22.9,22.0,20.6,19.3
DLFL|20.7,28.3,47.7,55.1,66.0|26.0,23.6,14.9,-9.8,22.7
ALCL|0,0,6.8,32.3,0|34.0,34.0,34.9,4.7,48.0
REDY|17.9,16.7,15.6,14.6,15.9|26.0,28.7,25.8,19.4,19.6
DGCR|0,0,27.3,22.4,13.5|11.9,24.9,5.0,3.3,4.6
DSKL|34.2,573.3,18.4,16.4,21.7|102.2,-168.2,45.0,44.3,57.6
EID|22.2,51.0,0,45.2,0|32.2,29.9,30.6,39.0,52.9
ESILK|0,0,0,0,0|15.8,210.7,19.0,0,0
EASUN|-34.5,-5.9,0,0,0|-127.8,-69.8,-112.5,-3.2,10.3
ECEI|10.5,14.1,20.6,42.9,7.8|-12.2,15.0,19.6,30.8,-106.3
ECXS|31.8,43.5,41.3,46.3,1.1|19.8,18.6,22.9,22.9,23.8
EDWS|35.5,27.8,24.4,24.1,24.6|34.3,34.0,39.7,39.6,41.2
EDUCO|1.7,2.1,0,0,0|16.6,29.6,10.1,25.2,0.1
ECHM|14.0,16.7,20.6,22.0,21.3|24.7,20.8,21.7,29.3,30.8
EIH|51.4,123.1,58.7,99.6,102.0|30.5,26.9,40.3,53.8,35.9
EMEL|18.0,17.2,11.4,15.3,11.4|33.3,32.0,31.6,24.9,28.1
ELDER|9.6,8.5,0,0,0|20.8,21.4,20.5,20.5,-3.4
ELEG|27.4,51.8,79.3,73.3,31.4|41.8,27.0,51.4,49.5,28.6
ELETST|17.4,22.7,-60.5,-68.4,-140.2|30.9,27.4,-148.6,21.0,31.8
ELEQ|21.0,26.3,34.8,32.9,25.0|31.7,35.3,37.2,29.7,26.2
HMNI|46.8,38.5,39.5,32.7,44.2|13.4,14.6,11.7,18.1,14.0
EMCO|-2.2,-8.4,-14.5,-15.5,-5.8|27.2,-6.8,-164.4,-725.5,-29.4
ENGS|31.4,32.0,45.4,53.9,51.5|30.8,29.5,31.5,33.6,35.8
ENIL|0,7.0,5.7,4.5,4.8|29.3,24.2,27.7,26.7,32.5
ERCN|2.5,3.3,4.9,6.6,0|32.7,33.1,33.6,37.8,48.2
EIML|0,0,8.9,0,0|22.2,29.7,28.2,27.6,23.6
ESBI|48.7,30.6,4.6,6.5,5.4|32.8,30.3,30.2,14.5,28.6
ESCR|12.5,19.9,8.9,19.3,19.1|-14.6,20.7,10.4,-5.5,2.4
ESSDEE|2.9,5.4,9.4,8.7,0|-45.2,25.2,31.7,31.4,52.3
ESRO|0,0,0,0,0|-0.4,0,0,2.5,0
ESSH|0,0,32.1,6.5,5.6|18.2,29.5,-22.9,16.2,14.1
ESPK|10.5,19.9,19.8,14.6,18.2|47.6,39.6,24.5,35.1,33.7
EVER|0,0,26.7,0,28.7|-6.9,768.4,17.5,21.0,25.0
ETEV|16.7,20.0,21.7,42.1,22.3|23.5,28.7,33.5,29.4,29.1
EKCL|22.8,57.1,-1.6,0,0|6.1,-39.6,-11.6,-0.1,0.5
EVRON|7.0,0,0,0,0|28.9,25.6,66.0,34.9,0
EXCR|15.0,15.5,20.8,21.8,22.4|22.0,29.8,33.1,32.8,29.6
EXIDE|28.6,24.8,28.1,30.4,28.6|29.9,30.5,30.6,29.4,29.0
FCHT|0,0,0,0,0|0.2,0,0,0,0
FAG|9.4,5.2,8.2,8.2,8.4|32.6,31.8,34.3,34.2,32.8
AGRS|0,0,0,0,0|-46.2,-22.1,9.3,30.0,34.5
SCN|0,0,0,0,0|10.8,-2.9,11.1,34.1,-8.8
