CAKIL|10.7,3.5,18.7,21.8,3.6|0.6,2.9,3.0,2.7,1.3
EDMR|-44.1,-39.8,-17.3,-1,756.3,96.4|0.7,0.2,0.1,2.8,-0.3
SRYS|-5.9,-0.5,0.7,5.2,10.3|0,0.1,0.1,0.1,0
CRISIL|41.7,44.2,26.7,31.6,33.3|0,0,0,0,0
CRGR|27.1,10.3,-1.0,6.7,5.5|0.1,0.2,0.4,0.4,0.5
CUMM|28.9,32.0,23.4,27.2,23.7|0,0,0,0,0
INTE|13.9,17.5,16.7,19.2,17.1|0,0,0,0,0
DBCL|31.2,21.8,21.2,26.7,24.6|0.2,0.1,0.1,0.1,0
DABR|37.6,36.4,34.4,31.8,30.1|0.4,0.3,0.1,0.1,0.1
DBEL|1.8,5.0,6.4,-0.3,0.1|0.6,0.5,1.0,1.1,2.4
DLCN|0.9,0.2,4.0,0.7,0.3|0.8,0.8,0.7,1.1,1.0
DBRL|9.1,2.6,0.1,0.3,0|0.1,0,0.1,0.1,0.2
DCBL|3.4,6.4,10.2,13.1,12.0|0,0,0,0,0
DCMC|6.3,-1.1,0.9,13.6,14.4|0.8,0.6,0.6,0.4,0.3
DECH|20.4,27.8,12.2,20.7,12.7|0.3,0.3,0.4,0.2,0.2
DEFR|17.9,17.7,17.4,10.1,16.5|0.5,0.6,0.4,0.6,0.4
ARWEB|26.8,6.7,3.8,4.6,-3.0|0.2,0.4,0.4,0.3,0.3
DEN|4.8,1.8,7.1,2.1,-8.4|0.1,0.2,0.5,0.2,0.2
DENA|16.7,17.9,14.1,7.7,3.6|0,0,0,0,0
DNSI|15.3,9.3,9.1,1.0,-52.7|0,0,0,0,0.5
DWHF|15.1,14.0,14.8,13.4,13.9|0,0,0,0,0
DHBN|5.3,3.1,-15.9,0.3,-34.2|0,0,0,0,0
GRFS|52.4,30.6,24.2,18.2,9.8|0,0,0,0,0
DISH|141.8,42.4,50.4,-1.0,181.9|-10.9,-5.4,-2.5,0,3.0
DHPH|9.1,6.1,9.7,9.3,9.7|0.5,0.6,0.4,0.3,0.3
DIVI|25.0,24.1,26.1,24.4,25.9|0,0,0,0,0
DLFL|6.7,4.7,2.8,2.4,2.0|0.7,0.7,0.6,0.5,0.6
ALCL|30.3,26.8,11.7,0.1,0.1|0.4,0.4,0.3,1.2,0.4
REDY|26.1,24.0,25.0,23.7,18.4|0.3,0.2,0.3,0.1,0.1
DGCR|2.9,1.0,1.5,2.6,4.2|0,0.2,0.5,0.9,0.6
DSKL|1.8,0.1,3.2,3.4,3.2|0.7,0.9,0.5,0.6,0.7
EID|12.9,8.5,3.2,5.2,0.6|0.6,0.8,0.6,0.5,0.5
ESILK|-17.5,-38.4,-82.9,614.4,53.2|0.2,1.6,3.6,-18.8,-5.8
EASUN|-3.5,-3.4,-1.8,-18.6,-25.4|0.3,0.4,0.5,0.6,0.3
ECEI|1.4,2.0,0.7,0.1,0.7|0,0,0,0,0
ECXS|46.6,39.1,43.4,32.1,33.4|0,0,0,0,0
EDWS|9.5,4.8,7.3,7.6,10.4|0.2,0.4,0.8,1.2,2.6
EDUCO|15.5,5.4,-4.9,-16.2,-284.2|0.5,0.4,0.5,1.3,5.3
ECHM|20.7,18.5,19.2,24.5,36.9|0,0,0,0,0
EIH|-0.2,4.7,1.6,4.1,2.4|0.3,0.1,0.1,0.1,0.1
EMEL|9.9,9.6,12.9,8.9,10.8|0,0,0,0,0
ELDER|10.2,10.3,10.7,10.7,-0.8|0.8,0.8,0.9,0.9,0.6
ELEG|13.3,3.3,2.6,3.1,6.8|0.4,0.3,0.3,0.3,0.3
ELETST|14.5,10.3,-1.6,-1.1,-0.7|0.6,0.4,0.5,0.5,0.7
ELEQ|19.0,13.9,9.8,9.7,11.7|0,0.5,0.5,0.3,0.3
HMNI|36.6,40.5,43.2,39.5,25.6|0.1,0,0,0,0.2
EMCO|-10.8,-3.0,-1.8,-0.9,-2.6|0.2,0.1,0.2,0.2,0.4
ENGS|33.9,27.5,19.1,11.9,9.6|0,0,0,0,0
ENIL|12.8,13.6,14.4,15.7,13.0|0,0,0,0,0
